Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,area
Algeria,1029,854,904,565,1053,1277,1335,1235,1452,1752,1911,1826,1881,2092,2101,2206,2802,2925,3094,3946,5172,5281,5671,8652,9326,10402,"""002"""
Libya,. .,. .,. .,. .,. .,. .,. .,. .,. .,1254,1436,1163,1090,820,452,541,685,691,614,639,1100,. .,. .,. .,2991,. .,"""002"""
Morocco,917,991,1070,1148,1229,1252,1365,1438,1447,1401,1445,1180,859,1470,1475,1819,1938,2030,2134,2408,2945,3055,3161,3343,3402,4064,"""002"""
Tunisia,233,234,248,260,290,276,297,343,397,358,366,357,332,336,345,408,445,468,497,491,579,565,571,715,814,948,"""002"""
Angola,. .,. .,. .,1033,794,1774,. .,234,160,457,170,1067,584,404,439,670,818,1365,1970,2032,3164,3311,3501,3647,4145,6095,"""002"""
Benin,36.9,28.5,32.8,. .,. .,. .,. .,. .,. .,. .,. .,17.8,14.5,13.1,26,34.5,41.8,44.7,46.8,. .,64.7,. .,. .,. .,78.2,86,"""002"""
Botswana,93.7,103,156,172,178,186,170,166,141,161,181,170,185,210,224,301,314,284,273,306,332,330,349,370,333,298,"""002"""
Burkina Faso,47,55.2,69.8,57.4,58.6,49.8,25,30.5,30.7,26.6,32.5,34.4,30.2,30.4,35.4,44,57.3,63.8,70.9,95.2,123,110,124,139,146,163,"""002"""
Burundi,34.3,37.9,39.6,42.8,39,36.3,41.9,42.1,50.9,61.9,58.7,50.6,42.3,53.2,44.9,43.4,44.9,49.6,44.7,46.3,43.9,. .,. .,. .,59,60.8,"""002"""
Cameroon,154,147,181,178,184,168,94.5,114,117,119,137,145,123,124,146,188,221,223,257,297,347,343,354,347,354,393,"""002"""
Cape Verde,5.1,. .,. .,. .,3.6,2.7,3.4,6.2,4.3,4.1,4.5,5,6.8,4.6,4.5,5.8,6.5,6.9,7,7.9,8.6,8.4,8.3,9.7,. .,9.4,"""002"""
Central African Rep.,. .,. .,. .,21.6,23.2,19.1,10.7,13,12.2,. .,. .,. .,. .,. .,10.7,15,15.1,15.4,. .,19.1,31.5,36,51.6,. .,. .,. .,"""002"""
Chad,. .,. .,. .,. .,. .,48.4,27.6,24.8,30.7,20.6,20,26,26.4,30.7,34.3,40.9,50.5,55.5,. .,389,611,436,226,242,. .,. .,"""002"""
Congo,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,38.7,50.3,66.6,75.8,79.5,84.3,106,142,. .,134,. .,. .,. .,"""002"""
